fsm_type,feedback_condition,test_condition,trial_type,coef,0.025,0.975,SE,z,p,LL,LL_an,LL_comparison,LL_diff
easy,control,control,"Hidden
Normative",0.25,0.18,0.32,0.04,6.81,0.0,-683.14,-336.87,AN,346.27
easy,control,explanation,"Hidden
Normative",0.2,0.09,0.3,0.05,3.65,0.0,-263.55,-202.99,AN,60.56
easy,control,prediction,"Hidden
Normative",0.15,0.03,0.27,0.06,2.48,0.013,-267.23,-134.48,AN,132.75000000000003
easy,explanation,control,"Hidden
Normative",0.11,-0.0,0.23,0.06,1.93,0.054,-254.59,-127.54,AN,127.05
easy,explanation,explanation,"Hidden
Normative",0.27,0.2,0.34,0.03,7.87,0.0,-654.16,-520.01,AN,134.14999999999998
easy,explanation,prediction,"Hidden
Normative",0.04,-0.08,0.17,0.06,0.71,0.478,-256.21,-128.23,AN,127.97999999999999
easy,prediction,control,"Hidden
Normative",0.17,0.05,0.28,0.06,2.87,0.004,-266.15,-134.28,AN,131.86999999999998
easy,prediction,explanation,"Hidden
Normative",0.14,0.03,0.24,0.05,2.55,0.011,-267.03,-211.41,AN,55.619999999999976
easy,prediction,prediction,"Hidden
Normative",0.21,0.15,0.28,0.03,6.26,0.0,-874.17,-437.62,AN,436.54999999999995
easy,control,control,Visible,0.65,0.56,0.74,0.05,14.04,0.0,-343.28,,,
easy,control,explanation,Visible,0.16,0.06,0.26,0.05,3.08,0.002,-265.52,,,
easy,control,prediction,Visible,0.46,0.36,0.56,0.05,8.7,0.0,-227.22,,,
easy,explanation,control,Visible,0.26,0.16,0.37,0.05,5.12,0.0,-242.83,,,
easy,explanation,explanation,Visible,0.18,0.12,0.24,0.03,5.8,0.0,-741.89,,,
easy,explanation,prediction,Visible,0.31,0.21,0.4,0.05,6.03,0.0,-237.22,,,
easy,prediction,control,Visible,0.33,0.22,0.43,0.05,6.33,0.0,-248.97,,,
easy,prediction,explanation,Visible,0.08,-0.02,0.18,0.05,1.65,0.099,-268.96,,,
easy,prediction,prediction,Visible,0.41,0.34,0.48,0.04,11.51,0.0,-487.88,,,
hard,control,control,"Hidden
Normative",0.24,0.16,0.32,0.04,5.84,0.0,-741.59,-372.97,AN,368.62
hard,control,explanation,"Hidden
Normative",0.12,-0.02,0.26,0.07,1.74,0.082,-261.88,-121.55,AN,140.32999999999998
hard,control,prediction,"Hidden
Normative",0.17,0.04,0.3,0.07,2.57,0.01,-260.05,-141.5,AN,118.55000000000001
hard,explanation,control,"Hidden
Normative",0.07,-0.09,0.23,0.08,0.83,0.405,-179.87,-89.38,AN,90.49000000000001
hard,explanation,explanation,"Hidden
Normative",0.19,0.09,0.29,0.05,3.77,0.0,-533.48,-260.77,AN,272.71000000000004
hard,explanation,prediction,"Hidden
Normative",-0.01,-0.17,0.14,0.08,-0.13,0.897,-180.21,-107.19,AN,73.02000000000001
hard,prediction,control,"Hidden
Normative",0.12,-0.02,0.27,0.07,1.67,0.096,-227.34,-113.94,AN,113.4
hard,prediction,explanation,"Hidden
Normative",0.02,-0.13,0.17,0.08,0.29,0.771,-228.7,-110.91,AN,117.78999999999999
hard,prediction,prediction,"Hidden
Normative",0.24,0.17,0.32,0.04,6.16,0.0,-739.54,-437.35,AN,302.18999999999994
hard,control,control,Visible,0.4,0.32,0.48,0.04,10.15,0.0,-537.02,,,
hard,control,explanation,Visible,0.12,-0.01,0.25,0.07,1.78,0.075,-261.8,,,
hard,control,prediction,Visible,0.12,0.02,0.23,0.05,2.4,0.016,-260.49,,,
hard,explanation,control,Visible,0.15,0.02,0.28,0.07,2.2,0.028,-177.77,,,
hard,explanation,explanation,Visible,0.11,0.02,0.19,0.04,2.43,0.015,-610.47,,,
hard,explanation,prediction,Visible,0.04,-0.08,0.17,0.06,0.72,0.471,-179.96,,,
hard,prediction,control,Visible,0.32,0.2,0.44,0.06,5.16,0.0,-214.78,,,
hard,prediction,explanation,Visible,0.14,-0.0,0.28,0.07,1.94,0.052,-226.84,,,
hard,prediction,prediction,Visible,0.23,0.16,0.29,0.03,6.69,0.0,-611.21,,,
easy,prediction,prediction,"Hidden
AN",0.27,0.18,0.36,0.04,6.07,0.0,,-437.62,,
easy,prediction,control,"Hidden
AN",0.09,-0.04,0.23,0.07,1.33,0.185,,-134.28,,
easy,prediction,explanation,"Hidden
AN",0.16,0.06,0.26,0.05,3.09,0.002,,-211.41,,
easy,control,prediction,"Hidden
AN",0.09,-0.06,0.25,0.08,1.17,0.244,,-134.48,,
easy,control,control,"Hidden
AN",0.23,0.14,0.32,0.04,5.19,0.0,,-336.87,,
easy,control,explanation,"Hidden
AN",0.27,0.17,0.38,0.05,5.03,0.0,,-202.99,,
easy,explanation,prediction,"Hidden
AN",0.01,-0.16,0.17,0.08,0.07,0.947,,-128.23,,
easy,explanation,control,"Hidden
AN",0.08,-0.06,0.22,0.07,1.17,0.241,,-127.54,,
easy,explanation,explanation,"Hidden
AN",0.27,0.21,0.34,0.03,8.03,0.0,,-520.01,,
hard,prediction,prediction,"Hidden
AN",0.29,0.2,0.38,0.05,6.21,0.0,,-437.35,,
hard,prediction,control,"Hidden
AN",0.09,-0.1,0.27,0.09,0.93,0.354,,-113.94,,
hard,prediction,explanation,"Hidden
AN",0.22,0.05,0.38,0.08,2.6,0.009,,-110.91,,
hard,control,prediction,"Hidden
AN",0.45,0.29,0.62,0.08,5.47,0.0,,-141.5,,
hard,control,control,"Hidden
AN",0.22,0.12,0.32,0.05,4.35,0.0,,-372.97,,
hard,control,explanation,"Hidden
AN",0.35,0.19,0.51,0.08,4.37,0.0,,-121.55,,
hard,explanation,prediction,"Hidden
AN",0.12,-0.05,0.3,0.09,1.36,0.173,,-107.19,,
hard,explanation,control,"Hidden
AN",0.13,-0.08,0.33,0.1,1.21,0.227,,-89.38,,
hard,explanation,explanation,"Hidden
AN",0.23,0.13,0.34,0.05,4.31,0.0,,-260.77,,
