participant_id,task,condition,predicted_accuracy,fsm_number,fsm_type,mm_accuracy,count_nan
1,explanation,visible,0.5,21.0,easy,0.0,0.0
1,explanation,hidden,0.5,21.0,easy,0.0,0.0
1,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
1,explanation,hidden_normative_subset,0.5,21.0,easy,,
1,explanation,hidden_an_subset,0.5,21.0,easy,,
2,explanation,visible,0.5,21.0,easy,0.0,0.0
2,explanation,hidden,0.5,21.0,easy,0.0,0.0
2,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
2,explanation,hidden_normative_subset,0.5,21.0,easy,,
2,explanation,hidden_an_subset,0.5,21.0,easy,,
3,explanation,visible,0.5,21.0,easy,0.0,0.0
3,explanation,hidden,0.5,21.0,easy,0.0,0.0
3,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
3,explanation,hidden_normative_subset,0.5,21.0,easy,,
3,explanation,hidden_an_subset,0.5,21.0,easy,,
4,explanation,visible,0.5,21.0,easy,0.0,0.0
4,explanation,hidden,0.5,21.0,easy,0.0,0.0
4,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
4,explanation,hidden_normative_subset,0.5,21.0,easy,,
4,explanation,hidden_an_subset,0.5,21.0,easy,,
5,explanation,visible,0.5,21.0,easy,0.0,0.0
5,explanation,hidden,0.5,21.0,easy,0.0,0.0
5,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
5,explanation,hidden_normative_subset,0.5,21.0,easy,,
5,explanation,hidden_an_subset,0.5,21.0,easy,,
6,explanation,visible,0.5,21.0,easy,0.0,0.0
6,explanation,hidden,0.5,21.0,easy,0.0,0.0
6,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
6,explanation,hidden_normative_subset,0.5,21.0,easy,,
6,explanation,hidden_an_subset,0.5,21.0,easy,,
7,explanation,visible,0.5,21.0,easy,0.0,0.0
7,explanation,hidden,0.5,21.0,easy,0.0,0.0
7,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
7,explanation,hidden_normative_subset,0.5,21.0,easy,,
7,explanation,hidden_an_subset,0.5,21.0,easy,,
8,explanation,visible,0.5,21.0,easy,0.0,0.0
8,explanation,hidden,0.5,21.0,easy,0.0,0.0
8,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
8,explanation,hidden_normative_subset,0.5,21.0,easy,,
8,explanation,hidden_an_subset,0.5,21.0,easy,,
9,explanation,visible,0.5,21.0,easy,0.0,0.0
9,explanation,hidden,0.5,21.0,easy,0.0,0.0
9,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
9,explanation,hidden_normative_subset,0.5,21.0,easy,,
9,explanation,hidden_an_subset,0.5,21.0,easy,,
10,explanation,visible,0.5,21.0,easy,0.0,0.0
10,explanation,hidden,0.5,21.0,easy,0.0,0.0
10,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
10,explanation,hidden_normative_subset,0.5,21.0,easy,,
10,explanation,hidden_an_subset,0.5,21.0,easy,,
11,explanation,visible,0.5,21.0,easy,0.0,0.0
11,explanation,hidden,0.5,21.0,easy,0.0,0.0
11,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
11,explanation,hidden_normative_subset,0.5,21.0,easy,,
11,explanation,hidden_an_subset,0.5,21.0,easy,,
12,explanation,visible,0.5,21.0,easy,0.0,0.0
12,explanation,hidden,0.5,21.0,easy,0.0,0.0
12,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
12,explanation,hidden_normative_subset,0.5,21.0,easy,,
12,explanation,hidden_an_subset,0.5,21.0,easy,,
13,explanation,visible,0.5,21.0,easy,0.0,0.0
13,explanation,hidden,0.5,21.0,easy,0.0,0.0
13,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
13,explanation,hidden_normative_subset,0.5,21.0,easy,,
13,explanation,hidden_an_subset,0.5,21.0,easy,,
14,explanation,visible,0.5,21.0,easy,0.0,0.0
14,explanation,hidden,0.5,21.0,easy,0.0,0.0
14,explanation,hidden_an,0.5,21.0,easy,0.0,0.0
14,explanation,hidden_normative_subset,0.5,21.0,easy,,
